************* New Request *************
07/05/2021 02:24:25 Request: 01002CFF0100DF0406000000000661DF610A31ffffffffffffffffffDF8110303030303030303030303030303030315D
************* New Request *************
07/05/2021 02:25:55 Request: 01002CFF0100DF0406000000000199DF610A31ffffffffffffffffffDF811030303030303030303030303030303031A2
************* New Request *************
07/05/2021 02:27:14 Request: 01002CFF0100DF04060000977.0001DF610A31ffffffffffffffffffDF811030303030303030303030303030303031DC
07/05/2021 02:27:33 Response: 010002264763
************* New Request *************
07/05/2021 02:27:40 Request: 01002CFF0100DF04060000977.0001DF610A31ffffffffffffffffffDF811030303030303030303030303030303031DC
************* New Request *************
07/05/2021 02:36:37 Request: 01002CFF0100DF0406000000003335DF610A31ffffffffffffffffffDF8110303030303030303030303030303030313C
07/05/2021 02:36:43 Response: 010002474702
************* New Request *************
07/05/2021 02:36:52 Request: 01002CFF0100DF0406000000003335DF610A31ffffffffffffffffffDF8110303030303030303030303030303030313C
************* New Request *************
07/05/2021 02:37:49 Request: 01002CFF0100DF0406000000000199DF610A31ffffffffffffffffffDF811030303030303030303030303030303031A2
07/05/2021 02:37:53 Response: 0100024D4708
************* New Request *************
07/05/2021 02:38:09 Request: 01002CFF0100DF0406000000000199DF610A31ffffffffffffffffffDF811030303030303030303030303030303031A2
07/05/2021 02:38:22 Response: 010002504715
